male,female
повар,повариха
ткач,ткачиха
стюард,стюардесса
актер,актриса
художник,художница
учитель,учительница
наладчик,наладчица
кладовщик,кладовщица
уборщик,уборщица
писатель,писательница
гардеробщик,гардеробщица
продавец,продавщица
кассир,кассирша
секретарь,секретарша
парикмахер,парикмахерша
преподаватель,преподавательница
проводник,проводница
переводчик,переводчица
царь,царица
граф,графиня
директор,директриса
король,королева
крестьнин,крестьянка
официант,официантка
дворянин,дворянка
мещанин,мещанка
воспитатель,воспитательница
телефонист,телефонистка
начальник,начальница
певец,певица
танцор,танцовщица
фигурист,фигуристка
гимнаст,гимнастка
спортсмен,спортсменка
комсомолец,комсомолка
монах,монахиня
князь,княгиня
кормилец,кормилеца
ключник,ключница
почтальон,почтальонша
пастух,пастушка
укротитель,укротительница
телеграфист,телеграфистка
паианист,пианистка
поэт,поэтесса
вахтер,вахтерша
преступник,преступница
вор,воровка
грабитель,грабительница
атаман,атаманша
разбойник,разбойница
воин,воительница
колдун,колдунья
владыка,владычица
вампир,вампирша
кузен,кузина
культурист,культуристка
турист,туристка
охотник,охотница
собиратель,собирательница
мастер,мастерица
стриптизер,стриптизерша
велосипедист,велосипедистка
прорицатель,прорицательница
разведчик,разведчица
купальщик,купальщица
птичник,птичница
горожанин,горожанка
гражданин,гражданка
собачник,собачница
заводчик,заводчица
мойщик,мойщица
алкоголик,алкоголичка
уроженец,уроженка
кладовщик,кладовщица
путешественник,путешественница
ученик,ученица
студент,студентка
аспирант,аспирантка
кормилец,кормилеца
зритель,зрительница
наблюдатель,наблюдательница
читатель,читательница
оперативнк,оперативница
супруг,супруга
эконом,экономка
циркач,циркачка
акробат,акробатка
фокусник,фокусница
кудесник,кудесница
волшебник,волшебница
родственник,родственница
знахарь,знахарка
феменист,феменистка
сексист,сексистка
принц,принцесса
наемник,наемница
прихожанин,прихожанка
травник,травница
житель,жительница
артист,артистка
аквалангист,аквалангистка
бог,богиня
курильщик,курильщица
тюремщик,тюремщица
надсмоторщик,надсмоторщица
первооткрыватель,первоотркрывательница
наместник,наместница
губернатор,губернаторша
помещик,помещица
акушер,акушерка
санитар,санитарка
болельщик,болельщица
фанат,фанатка
журналист,журналистка
репортер,репортерша
каскадер,каскадерша
сценарист,сценаристка
футболист,футболистка
баскетболист,баскетболистка
волейболист,волейболистка
теннисист,теннисистка
пловец,пловчиха
биатлонист,биатлонистка
лыжник,лыжница
наездник,наездница
повелитель,повелительница
император,императрица
государь,государыня
раб,рабыня
послушник,послушница
расказчик,расказчица
нищий,нищенка
бомж,бомжиха
помошник,помошница
хозяин,хозяйка
революционер,революционерка
партизан,партизанка